id,name,kind,latitude,longitude,belong_to
4846,mocajuba,city,-2.584,-49.507,152
4847,varzea da palma,city,-17.598,-44.731,168
4848,zrenjanin,city,45.38361,20.38194,28
4849,simoes,city,-7.599,-40.818,162
4850,cristais paulista,city,-20.397,-47.42,170
4851,koblenz,city,50.35357,7.57883,38
4852,goettingen,city,51.53443,9.93228,38
4853,logan,city,41.73549,-111.83439,113
4854,bloemendaal,city,52.4025,4.62222,29
4855,joao ramalho,city,-22.25,-50.768,170
4856,viseu,city,40.66101,-7.90971,19
4857,gera,city,50.88029,12.08187,38
4858,rio brilhante,city,-21.802,-54.546,166
4859,caibi,city,-27.072,-53.248,173
4860,camaguey,city,21.38083,-77.91694,125
4861,talara,city,-4.57722,-81.27194,136
4862,jauja,city,-11.77584,-75.49656,136
4863,villaguay,city,-31.8653,-59.02689,140
4864,marituba,city,-1.355,-48.342,152
4865,santa lucia cotzumalguapa,city,14.33333,-91.01667,127
4866,pontivy,city,48.06667,-2.98333,40
4867,johannesburg,city,-26.20227,28.04363,87
4868,jaicos,city,-7.359,-41.138,162
4869,gaviao peixoto,city,-21.839,-48.495,170
4870,tremembe,city,-22.958,-45.549,170
4871,dusseldorf,city,51.22172,6.77616,38
4872,blieskastel,city,49.23724,7.25617,38
4873,satna,city,24.58225,80.8248,71
4874,worms,city,49.63278,8.35916,38
4875,inubia paulista,city,-21.77,-50.962,170
4876,satu mare,city,47.8,22.88333,20
4877,amstetten,city,48.1229,14.87206,42
4878,florencia,city,1.61438,-75.60623,138
4879,ourizona,city,-23.405,-52.199,171
4880,cicero dantas,city,-10.6,-38.383,155
4881,soure,city,-0.717,-48.523,152
4882,ivanovo,city,56.99719,40.97139,69
4883,dekalb,city,41.92947,-88.75036,113
4884,cordeiros,city,-15.039,-41.935,155
4885,nuernberg,city,49.45421,11.07752,38
4886,montpellier,city,43.61092,3.87723,40
4887,nonoai,city,-27.362,-52.771,172
4888,ajaccio,city,41.92723,8.73462,40
4889,dortmund,city,51.51494,7.466,38
4890,rivne,city,50.62308,26.22743,27
4891,iasi,city,47.16667,27.6,20
4892,guarda mor,city,-17.771,-47.098,168
4893,montijo,city,38.70675,-8.97388,19
4894,delmiro gouveia,city,-9.386,-37.996,154
4895,sao francisco de paula,city,-29.448,-50.584,172
4896,salta,city,-24.7859,-65.41166,140
4897,ibadan,city,7.38778,3.89639,85
4898,acopiara,city,-6.095,-39.453,156
4899,aden,city,12.77944,45.03667,51
4900,mari,city,-7.06,-35.319,158
4901,genk,city,50.965,5.50082,32
4902,santa marta,city,11.24079,-74.19904,138
4903,novi pazar,city,43.13667,20.51222,28
4904,portsmouth,city,50.79899,-1.09125,9
4905,oregon,city,41.64366,-83.48688,113
4906,oviedo,city,43.36029,-5.84476,41
4907,klimovsk,city,55.36352,37.52984,69
4908,tours,city,47.38333,0.68333,40
4909,hyderabad,city,17.38405,78.45636,71
4910,montreuil,city,48.86415,2.44322,40
4911,ivatuba,city,-23.619,-52.221,171
4912,sao felix do araguaia,city,-11.617,-50.669,165
4913,clamart,city,48.80299,2.26692,40
4914,wuppertal,city,51.27027,7.16755,38
4915,marcos juarez,city,-32.6978,-62.10672,140
4916,pindorama,city,-21.186,-48.907,170
4917,pertuis,city,43.69252,5.50285,40
4918,traunstein,city,47.86825,12.64335,38
4919,lagos,city,6.45306,3.39583,85
4920,bela vista de goias,city,-16.973,-48.953,164
4921,kitakata,city,37.65,139.86667,59
4922,preston,city,53.76667,-2.71667,9
4923,chichester,city,50.83673,-0.78003,9
4924,las palmas de gran canaria,city,28.09973,-15.41343,41
4925,girona,city,41.98311,2.82493,41
4926,porto novo,city,6.49646,2.60359,108
4927,trebic,city,49.21492,15.88166,33
4928,maracaju,city,-21.614,-55.168,166
4929,coro,city,11.4045,-69.67344,141
4930,santa cruz da conceicao,city,-22.14,-47.452,170
4931,obninsk,city,55.09681,36.61006,69
4932,talence,city,44.80477,-0.59543,40
4933,santiago de compostela,city,42.88052,-8.54569,41
4934,culiacan,city,24.79032,-107.38782,114
4935,angers,city,47.46667,-0.55,40
4936,segovia,city,40.94808,-4.11839,41
4937,messina,city,38.19394,15.55256,15
4938,campo bom,city,-29.679,-51.053,172
4939,aroeiras,city,-7.545,-35.708,158
4940,poissy,city,48.92902,2.04952,40
4941,felixstowe,city,51.96375,1.3511,9
4942,kolkata,city,22.56263,88.36304,71
4943,villarrica,city,-25.78056,-56.44861,134
4944,colorado do oeste,city,-13.117,-60.542,149
4945,orizona,city,-17.031,-48.296,164
4946,miami,city,25.77427,-80.19366,113
4947,arapoti,city,-24.158,-49.827,171
4948,tombos,city,-20.905,-42.023,168
4949,sento se,city,-9.746,-41.885,155
4950,lavras da mangabeira,city,-6.753,-38.972,156
4951,vilnius,city,54.68916,25.2798,18
4952,pau,city,43.3,-0.36667,40
4953,tome acu,city,-2.419,-48.152,152
4954,linstead,city,18.13683,-77.03171,124
4955,vitoria do mearim,city,-3.462,-44.871,157
4956,marmeleiro,city,-26.149,-53.026,171
4957,kiel,city,54.32133,10.13489,38
4958,santo inacio,city,-22.698,-51.794,171
4959,la victoria,city,10.21844,-67.33017,141
4960,neiva,city,2.9273,-75.28189,138
4961,kolda,city,12.88333,-14.95,79
4962,barinas,city,8.62261,-70.20749,141
4963,abidjan,city,5.30966,-4.01266,86
4964,palermo,city,38.13205,13.33561,15
4965,san fernando,city,10.28333,-61.46667,120
4966,canada de gomez,city,-32.81636,-61.39493,140
4967,pocinhos,city,-7.077,-36.061,158
4968,alvorada,city,-29.99,-51.084,172
4969,kumamoto,city,32.80589,130.69181,59
4970,avila,city,40.65724,-4.69951,41
4971,kherson,city,46.65581,32.6178,27
4972,ruse,city,43.85639,25.97083,17
4973,pergamino,city,-33.88995,-60.57357,140
4974,mata,city,-29.566,-54.46,172
4975,vargem alegre,city,-19.608,-42.298,168
4976,lecce,city,40.35481,18.17244,15
4977,calangute,city,15.5439,73.7553,71
4978,fort worth,city,32.72541,-97.32085,113
4979,bobigny,city,48.9,2.45,40
4980,punta cardon,city,11.65806,-70.215,141
4981,parambu,city,-6.211,-40.694,156
4982,vila nova de gaia,city,41.13363,-8.61742,19
4983,zacapa,city,14.97222,-89.53056,127
4984,wolverhampton,city,52.58547,-2.12296,9
4985,khartoum,city,15.55177,32.53241,91
4986,braunschweig,city,52.26594,10.52673,38
